Unnamed: 0,brand,name,price,n_of_reviews,n_of_loves,review_score,size,clean_product,category_Anti-Aging,category_BB_&_CC_Cream,category_Bath_&_Shower,category_Beauty_Supplements,category_Blemish_&_Acne_Treatments,category_Blotting_Papers,category_Body_Lotions_&_Body_Oils,category_Cellulite_&_Stretch_Marks,category_Decollete_&_Neck_Creams,category_Exfoliators,category_Eye_Creams_&_Treatments,category_Eye_Masks,category_Face_Masks,category_Face_Oils,category_Face_Primer,category_Face_Serums,category_Face_Sunscreen,category_Face_Wash_&_Cleansers,category_Facial_Peels,category_Foundation,category_Hair_Oil,category_Highlighter,category_Holistic_Wellness,category_Mini_Size,category_Mists_&_Essences,category_Moisturizer_&_Treatments,category_Moisturizers,category_Night_Creams,category_Setting_Spray_&_Powder,category_Sheet_Masks,category_Skincare,category_Tinted_Moisturizer,category_Toners,category_Tools,category_Value_&_Gift_Sets,reviews_to_loves_ratio,return_on_reviews,price_per_ounce,product_name_std,brand_name_std,match_key,category
140,Farmacy,Sleep Tight Firming Night Balm with Echinacea GreenEnvy,48.0,463,33911,4.2138,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.37,0.91,28.24,sleep_tight_firming_night_balm_with_echinacea_greenenvy,farmacy,farmacy_sleep_tight_firming_night_balm_with_echinacea_greenenvy,Moisturizers
141,Shiseido,Benefiance WrinkleResist24 Day Cream Broad Spectrum SPF 18,60.0,135,9169,4.363,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.47,3.23,33.33,benefiance_wrinkleresist24_day_cream_broad_spectrum_spf_18,shiseido,shiseido_benefiance_wrinkleresist24_day_cream_broad_spectrum_spf_18,Moisturizers
142,Kopari,Coconut Melt,28.0,627,37428,4.0957,5.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68,0.65,5.49,coconut_melt,kopari,kopari_coconut_melt,Moisturizers
143,Briogeo,B. Well Organic + Cold-Pressed 100% Castor Oil,26.0,147,15134,4.8231,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,3.28,,b._well_organic_cold_pressed_100_castor_oil,briogeo,briogeo_b._well_organic_cold_pressed_100_castor_oil,Moisturizers
144,Perricone MD,Vitamin C Ester Photo-Brightening Moisturizer SPF 30,69.0,592,11925,4.2314,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.96,0.71,34.5,vitamin_c_ester_photo_brightening_moisturizer_spf_30,perricone_md,perricone_md_vitamin_c_ester_photo_brightening_moisturizer_spf_30,Moisturizers
145,First Aid Beauty,Ultra Repair Face Moisturizer,24.0,706,26793,4.2535,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.64,0.6,,ultra_repair_face_moisturizer,first_aid_beauty,first_aid_beauty_ultra_repair_face_moisturizer,Moisturizers
146,Dr. Dennis Gross Skincare,Ferulic + Retinol Anti-Aging Moisturizer,75.0,122,9519,4.1721,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.28,3.42,44.12,ferulic_retinol_anti_aging_moisturizer,dr._dennis_gross_skincare,dr._dennis_gross_skincare_ferulic_retinol_anti_aging_moisturizer,Moisturizers
147,First Aid Beauty,Ultra Repair Oat & Cannabis Sativa Seed Oil,30.0,129,10962,4.5116,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,3.5,30.0,ultra_repair_oat_cannabis_sativa_seed_oil,first_aid_beauty,first_aid_beauty_ultra_repair_oat_cannabis_sativa_seed_oil,Moisturizers
148,CLINIQUE,Redness Solutions Daily Relief Cream,49.5,525,12113,4.021,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.33,0.77,29.12,redness_solutions_daily_relief_cream,clinique,clinique_redness_solutions_daily_relief_cream,Moisturizers
149,CLINIQUE,Moisture Surge CC Cream Hydrating Colour Corrector Broad Spectrum SPF 30,39.0,730,26504,3.8233,1.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,0.52,27.86,moisture_surge_cc_cream_hydrating_colour_corrector_broad_spectrum_spf_30,clinique,clinique_moisture_surge_cc_cream_hydrating_colour_corrector_broad_spectrum_spf_30,Moisturizers
